"";"parsed";"ebird"
"7259";"Lepidothrix nattereri";"Lepidothrix nattereri"
"7260";"Lepidothrix coeruleocapilla";"Lepidothrix coeruleocapilla"
"7261";"Antilophia galeata";"Antilophia galeata"
"7262";"Chiroxiphia boliviana";"Chiroxiphia boliviana"
"7263";"Corapipo gutturalis";"Corapipo gutturalis"
"7264";"Machaeropterus pyrocephalus";"Machaeropterus pyrocephalus"
"7265";"Machaeropterus deliciosus";"Machaeropterus deliciosus"
"7266";"Xenopipo atronitens";"Xenopipo atronitens"
"7267";"Neopelma pallescens";"Neopelma pallescens"
"7268";"Piprites griseiceps";"Piprites griseiceps"
"7269";"Phlegopsis erythroptera";"Phlegopsis erythroptera"
"7270";"Geocerthia serrana";"Geocerthia serrana"
"7271";"Sylviorthorhynchus desmurii";NA
"7272";"Asthenes fuliginosa";"Asthenes fuliginosa"
"7273";"Synallaxis frontalis";"Synallaxis frontalis"
"7274";"Synallaxis rutilans";"Synallaxis rutilans"
"7275";"Synallaxis cinnamomea";"Synallaxis cinnamomea"
"7276";"Synallaxis scutata";"Synallaxis scutata"
"7277";"Thripophaga fusciceps";"Thripophaga fusciceps"
"7278";"Phacellodomus sibilatrix";"Phacellodomus sibilatrix"
"7279";"Phacellodomus ruber";"Phacellodomus ruber"
"7280";"Phacellodomus erythrophthalmus";"Phacellodomus erythrophthalmus"
"7281";"Pseudoseisura lophotes";"Pseudoseisura lophotes"
"7282";"Ancistrops strigilatus";"Ancistrops strigilatus"
"7283";"Anabacerthia ruficaudata";"Anabacerthia ruficaudata"
"7284";"Philydor pyrrhodes";"Philydor pyrrhodes"
"7285";"Syndactyla dimidiata";"Syndactyla dimidiata"
"7286";"Anabazenops dorsalis";"Anabazenops dorsalis"
"7287";"Syndactyla roraimae";"Syndactyla roraimae"
"7288";"Automolus melanopezus";"Automolus melanopezus"
"7289";"Automolus rufipileatus";"Automolus rufipileatus"
"7290";"Clibanornis rectirostris";"Clibanornis rectirostris"
"7291";"Sclerurus caudacutus";"Sclerurus caudacutus"
"7292";"Xenops tenuirostris";"Xenops tenuirostris"
"7293";"Megaxenops parnaguae";"Megaxenops parnaguae"
"7294";"Pygarrhichas albogularis";"Pygarrhichas albogularis"
"7295";"Dendrexetastes rufigula";"Dendrexetastes rufigula"
"7296";"Hylexetastes stresemanni";"Hylexetastes stresemanni"
"7297";"Xiphocolaptes albicollis";"Xiphocolaptes albicollis"
"7298";"Xiphocolaptes major";"Xiphocolaptes major"
"7299";"Dendrocolaptes certhia";"Dendrocolaptes certhia"
"7300";"Xiphorhynchus obsoletus";"Xiphorhynchus obsoletus"
"7301";"Xiphorhynchus spixii";"Xiphorhynchus spixii"
"7302";"Xiphorhynchus elegans";"Xiphorhynchus elegans"
"7303";"Xiphorhynchus pardalotus";"Xiphorhynchus pardalotus"
"7304";"Xiphorhynchus triangularis";"Xiphorhynchus triangularis"
"7305";"Chamaeza campanisona";"Chamaeza campanisona"
"7306";"Chamaeza ruficauda";"Chamaeza ruficauda"
"7307";"Grallaria eludens";"Grallaria eludens"
"7308";"Grallaria andicolus";"Grallaria andicolus"
"7309";"Grallaria flavotincta";"Grallaria flavotincta"
"7310";"Hylopezus fulviventris";NA
"7311";"Hylopezus berlepschi";NA
"7312";"Myrmothera campanisona";"Myrmothera campanisona"
"7313";"Conopophaga ardesiaca";"Conopophaga ardesiaca"
"7314";"Conopophaga melanops";"Conopophaga melanops"
"7315";"Conopophaga melanogaster";"Conopophaga melanogaster"
"7316";"Pteroptochos castaneus";"Pteroptochos castaneus"
"7317";"Pteroptochos tarnii";"Pteroptochos tarnii"
"7318";"Scelorchilus rubecula";"Scelorchilus rubecula"
"7319";"Eugralla paradoxa";"Eugralla paradoxa"
"7320";"Climacteris erythrops";"Climacteris erythrops"
"7321";"Myzomela blasii";"Myzomela blasii"
"7322";"Myzomela nigrita";"Myzomela nigrita"
"7323";"Myzomela adolphinae";"Myzomela adolphinae"
"7324";"Myzomela wakoloensis";"Myzomela wakoloensis"
"7325";"Myzomela boiei";"Myzomela boiei"
"7326";"Myzomela caledonica";"Myzomela caledonica"
"7327";"Myzomela lafargei";"Myzomela lafargei"
"7328";"Myzomela melanocephala";"Myzomela melanocephala"
"7329";"Myzomela tristrami";"Myzomela tristrami"
"7330";"Myzomela erythromelas";"Myzomela erythromelas"
"7331";"Myzomela vulnerata";"Myzomela vulnerata"
"7332";"Timeliopsis fulvigula";"Timeliopsis fulvigula"
"7333";"Timeliopsis griseigula";"Timeliopsis griseigula"
"7334";"Melitograis gilolensis";"Melitograis gilolensis"
"7335";"Philemon meyeri";"Philemon meyeri"
"7336";"Philemon inornatus";"Philemon inornatus"
"7337";"Philemon subcorniculatus";"Philemon subcorniculatus"
"7338";"Philemon cockerelli";"Philemon cockerelli"
"7339";"Philemon diemenensis";"Philemon diemenensis"
"7340";"Chloropsis palawanensis";"Chloropsis palawanensis"
"7341";"Hemipus picatus";"Hemipus picatus"
"7342";"Cyclarhis nigrirostris";"Cyclarhis nigrirostris"
"7343";"Vireolanius eximius";"Vireolanius eximius"
"7344";"Vireo carmioli";"Vireo carmioli"
"7345";"Vireo gundlachii";"Vireo gundlachii"
"7346";"Vireo crassirostris";"Vireo crassirostris"
"7347";"Vireo modestus";"Vireo modestus"
"7348";"Oriolus forsteni";"Oriolus forsteni"
"7349";"Oriolus phaeochromus";"Oriolus phaeochromus"
"7350";"Oriolus szalayi";"Oriolus szalayi"
"7351";"Oriolus sagittatus";"Oriolus sagittatus"
"7352";"Oriolus albiloris";"Oriolus albiloris"
"7353";"Oriolus auratus";"Oriolus auratus"
"7354";"Oriolus chinensis";"Oriolus chinensis"
"7355";"Oriolus tenuirostris";"Oriolus tenuirostris"
"7356";"Oriolus brachyrynchus";"Oriolus brachyrynchus"
"7357";"Oriolus nigripennis";"Oriolus nigripennis"
"7358";"Oriolus xanthornus";"Oriolus xanthornus"
"7359";"Oriolus traillii";"Oriolus traillii"
"7360";"Cyanocorax cyanomelas";"Cyanocorax cyanomelas"
"7361";"Cyanocorax chrysops";"Cyanocorax chrysops"
"7362";"Perisoreus canadensis";"Perisoreus canadensis"
"7363";"Urocissa caerulea";"Urocissa caerulea"
"7364";"Urocissa erythroryncha";"Urocissa erythroryncha"
"7365";"Cissa chinensis";"Cissa chinensis"
"7366";"Dendrocitta vagabunda";"Dendrocitta vagabunda"
"7367";"Dendrocitta frontalis";"Dendrocitta frontalis"
"7368";"Anthochaera carunculata";"Anthochaera carunculata"
"7369";"Crateroscelis nigrorufa";"Crateroscelis nigrorufa"
"7370";"Crateroscelis robusta";"Crateroscelis robusta"
"7371";"Sericornis spilodera";"Sericornis spilodera"
"7372";"Gerygone magnirostris";"Gerygone magnirostris"
"7373";"Gerygone dorsalis";"Gerygone dorsalis"
"7374";"Gerygone mouki";"Gerygone mouki"
"7375";"Hylophilus amaurocephalus";"Hylophilus amaurocephalus"
"7376";"Hylophilus poicilotis";"Hylophilus poicilotis"
"7377";"Hylophilus semicinereus";"Hylophilus semicinereus"
"7378";"Hylophilus pectoralis";"Hylophilus pectoralis"
"7379";"Vireo sclateri";"Vireo sclateri"
"7380";"Hylophilus brunneiceps";"Hylophilus brunneiceps"
"7381";"Pachysylvia hypoxantha";"Pachysylvia hypoxantha"
"7382";"Pachysylvia semibrunnea";"Pachysylvia semibrunnea"
"7383";"Pitohui dichrous";"Pitohui dichrous"
"7384";"Pseudorectes ferrugineus";"Pseudorectes ferrugineus"
"7385";"Ornorectes cristatus";"Ornorectes cristatus"
"7386";"Melanorectes nigrescens";"Melanorectes nigrescens"
"7387";"Corcorax melanorhamphos";"Corcorax melanorhamphos"
"7388";"Mohoua albicilla";"Mohoua albicilla"
"7389";"Pachycephala albiventris";"Pachycephala albiventris"
"7390";"Pachycephala hypoxantha";"Pachycephala hypoxantha"
"7391";"Pachycephala rufiventris";"Pachycephala rufiventris"
"7392";"Colluricincla tenebrosa";"Colluricincla tenebrosa"
"7393";"Colluricincla harmonica";"Colluricincla harmonica"
"7394";"Nucifraga columbiana";"Nucifraga columbiana"
"7395";"Corvus typicus";"Corvus typicus"
"7396";"Corvus mellori";"Corvus mellori"
"7397";"Cnemophilus loriae";"Cnemophilus loriae"
"7398";"Manucodia chalybatus";"Manucodia chalybatus"
"7399";"Manucodia jobiensis";"Manucodia jobiensis"
"7400";"Phonygammus keraudrenii";"Phonygammus keraudrenii"
"7401";"Lophorina magnifica";NA
"7402";"Lophorina intercedens";NA
"7403";"Lophorina paradisea";NA
"7404";"Cicinnurus magnificus";"Cicinnurus magnificus"
"7405";"Cicinnurus regius";"Cicinnurus regius"
"7406";"Astrapia stephaniae";"Astrapia stephaniae"
"7407";"Astrapia rothschildi";"Astrapia rothschildi"
"7408";"Seleucidis melanoleucus";"Seleucidis melanoleucus"
"7409";"Paradisaea minor";"Paradisaea minor"
"7410";"Paradisaea raggiana";"Paradisaea raggiana"
"7411";"Cracticus cassicus";"Cracticus cassicus"
"7412";"Artamus monachus";"Artamus monachus"
"7413";"Artamus maximus";"Artamus maximus"
"7414";"Artamus insignis";"Artamus insignis"
"7415";"Peltops blainvillii";"Peltops blainvillii"
"7416";"Peltops montanus";"Peltops montanus"
"7417";"Sphecotheres hypoleucus";"Sphecotheres hypoleucus"
"7418";"Coracina larvata";"Coracina larvata"
"7419";"Ceblepyris caesius";NA
"7420";"Lalage melaschistos";"Lalage melaschistos"
"7421";"Lalage nigra";"Lalage nigra"
"7422";"Lalage leucopygialis";"Lalage leucopygialis"
"7423";"Lalage tricolor";"Lalage tricolor"
"7424";"Campephaga phoenicea";"Campephaga phoenicea"
"7425";"Rhipidura phoenicura";"Rhipidura phoenicura"
"7426";"Rhipidura nigrocinnamomea";"Rhipidura nigrocinnamomea"
"7427";"Rhipidura euryura";"Rhipidura euryura"
"7428";"Rhipidura perlata";"Rhipidura perlata"
"7429";"Rhipidura threnothorax";"Rhipidura threnothorax"
"7430";"Rhipidura teysmanni";"Rhipidura teysmanni"
"7431";"Rhipidura rufidorsa";"Rhipidura rufidorsa"
"7432";"Chaetorhynchus papuensis";"Chaetorhynchus papuensis"
"7433";"Pericrocotus roseus";"Pericrocotus roseus"
"7434";"Pericrocotus divaricatus";"Pericrocotus divaricatus"
"7435";"Pericrocotus tegimae";"Pericrocotus tegimae"
"7436";"Pericrocotus ethologus";"Pericrocotus ethologus"
"7437";"Pericrocotus brevirostris";"Pericrocotus brevirostris"
"7438";"Pericrocotus flammeus";"Pericrocotus flammeus"
"7439";"Eurostopodus exul";"Eurostopodus exul"
"7440";"Geospiza pauper";NA
"7441";"Scytalopus robbinsi";"Scytalopus robbinsi"
"7442";"Pternistis ochropectus";"Pternistis ochropectus"
"7443";"Nemosia rourei";"Nemosia rourei"
"7444";"Lophornis brachylophus";"Lophornis brachylophus"
"7445";"Synallaxis maranonica";"Synallaxis maranonica"
"7446";"Formicivora paludicola";NA
"7447";"Loxops ochraceus";"Loxops ochraceus"
"7448";"Anas laysanensis";"Anas laysanensis"
"7449";"Grallaria chthonia";"Grallaria chthonia"
"7450";"Antilophia bokermanni";"Antilophia bokermanni"
"7451";"Troglodytes monticola";"Troglodytes monticola"
"7452";"Lipaugus weberi";"Lipaugus weberi"
"7453";"Oreomystis bairdi";"Oreomystis bairdi"
"7454";"Loxops caeruleirostris";"Loxops caeruleirostris"
"7455";"Telespiza ultima";"Telespiza ultima"
"7456";"Lathamus discolor";"Lathamus discolor"
"7457";"Cyanoramphus malherbi";"Cyanoramphus malherbi"
"7458";"Neophema chrysogaster";"Neophema chrysogaster"
"7459";"Geronticus eremita";"Geronticus eremita"
"7460";"Geokichla oberlaenderi";"Geokichla oberlaenderi"
"7461";"Crithagra ankoberensis";"Crithagra ankoberensis"
"7462";"Zosterops albogularis";"Zosterops albogularis"
"7463";"Gymnomyza aubryana";"Gymnomyza aubryana"
"7464";"Anthochaera phrygia";"Anthochaera phrygia"
"7465";"Oriolia bernieri";"Oriolia bernieri"
"7466";"Bubo shelleyi";"Bubo shelleyi"
"7467";"Nothoprocta taczanowskii";"Nothoprocta taczanowskii"
"7468";"Numenius tenuirostris";"Numenius tenuirostris"
"7469";"Toxostoma lecontei";"Toxostoma lecontei"
"7470";"Horornis haddeni";"Horornis haddeni"
"7471";"Leucocarbo onslowi";"Leucocarbo onslowi"
"7472";"Thalasseus bernsteini";"Thalasseus bernsteini"
"7473";"Eupherusa cyanophrys";"Eupherusa cyanophrys"
"7474";"Ramphastos dicolorus";"Ramphastos dicolorus"
"7475";"Psilopogon duvaucelii";"Psilopogon duvaucelii"
"7476";"Coracopsis vasa";"Coracopsis vasa"
"7477";"Malurus pulcherrimus";"Malurus pulcherrimus"
"7478";"Nothura minor";"Nothura minor"
"7479";"Biatas nigropectus";"Biatas nigropectus"
"7480";"Geositta poeciloptera";"Geositta poeciloptera"
"7481";"Platyrinchus leucoryphus";"Platyrinchus leucoryphus"
"7482";"Sylvietta philippae";"Sylvietta philippae"
"7483";"Onychorhynchus swainsoni";NA
"7484";"Acrocephalus melanopogon";"Acrocephalus melanopogon"
"7485";"Celeus obrieni";"Celeus obrieni"
"7486";"Garrulax milleti";"Garrulax milleti"
"7487";"Chamaetylas choloensis";"Chamaetylas choloensis"
"7488";"Ptilinopus huttoni";"Ptilinopus huttoni"
"7489";"Phaethornis aethopygus";"Phaethornis aethopygus"
"7490";"Scytalopus novacapitalis";"Scytalopus novacapitalis"
"7491";"Myiodynastes hemichrysus";"Myiodynastes hemichrysus"
"7492";"Belocercus longicaudus";NA
"7493";"Laterallus levraudi";"Laterallus levraudi"
"7494";"Microspingus cinereus";"Microspingus cinereus"
"7495";"Ptilinopus chrysogaster";NA
"7496";"Melanerpes erythrocephalus";"Melanerpes erythrocephalus"
"7497";"Prinia molleri";"Prinia molleri"
"7498";"Corythornis thomensis";NA
"7499";"Penelope albipennis";"Penelope albipennis"
"7500";"Ploceus princeps";"Ploceus princeps"
"7501";"Sylvia dohrni";"Sylvia dohrni"
"7502";"Terpsiphone atrochalybeia";"Terpsiphone atrochalybeia"
"7503";"Corythornis nais";NA
"7504";"Zosterops lugubris";"Zosterops lugubris"
"7505";"Zoonavena thomensis";"Zoonavena thomensis"
"7506";"Lamprotornis ornatus";"Lamprotornis ornatus"
"7507";"Crithagra rufobrunnea";"Crithagra rufobrunnea"
"7508";"Anabathmis newtonii";"Anabathmis newtonii"
"7509";"Anabathmis hartlaubii";"Anabathmis hartlaubii"
"7510";"Setophaga striata";"Setophaga striata"
"7511";"Ploceus sanctithomae";"Ploceus sanctithomae"
"7512";"Otus hartlaubi";"Otus hartlaubi"
"7513";"Amaurocichla bocagii";NA
"7514";"Oriolus crassirostris";"Oriolus crassirostris"
"7515";"Thalurania ridgwayi";NA
"7516";"Passerina ciris";"Passerina ciris"
"7517";"Leucosticte australis";"Leucosticte australis"
"7518";"Quiscalus quiscula";"Quiscalus quiscula"
"7519";"Hesperiphona vespertina";NA
"7520";"Oreothraupis arremonops";"Oreothraupis arremonops"
"7521";"Pternistis harwoodi";"Pternistis harwoodi"
"7522";"Temnotrogon roseigaster";NA
"7523";"Trochalopteron ngoclinhense";"Trochalopteron ngoclinhense"
"7524";"Ortalis erythroptera";"Ortalis erythroptera"
"7525";"Percnostola arenarum";"Percnostola arenarum"
"7526";"Apalis chariessa";"Apalis chariessa"
"7527";"Grallaria alleni";"Grallaria alleni"
"7528";"Corvus palmarum";"Corvus palmarum"
"7529";"Hemitriccus mirandae";"Hemitriccus mirandae"
"7530";"Augastes scutatus";"Augastes scutatus"
"7531";"Tachybaptus pelzelnii";"Tachybaptus pelzelnii"
"7532";"Hypothymis coelestis";"Hypothymis coelestis"
"7533";"Zosterops oleagineus";"Zosterops oleagineus"
"7534";"Chloropsis venusta";"Chloropsis venusta"
"7535";"Malacopteron albogulare";"Malacopteron albogulare"
"7536";"Micromacronus sordidus";"Micromacronus sordidus"
"7537";"Corvus pectoralis";"Corvus pectoralis"
"7538";"Euryceros prevostii";"Euryceros prevostii"
"7539";"Graminicola bengalensis";"Graminicola bengalensis"
"7540";"Mirafra williamsi";"Mirafra williamsi"
"7541";"Pavo muticus";"Pavo muticus"
"7542";"Egretta sacra";"Egretta sacra"
"7543";"Henicorhina negreti";"Henicorhina negreti"
"7544";"Chaetura pelagica";"Chaetura pelagica"
"7545";"Tympanuchus pallidicinctus";"Tympanuchus pallidicinctus"
"7546";"Zosterops ficedulinus";"Zosterops ficedulinus"
"7547";"Prinia familiaris";"Prinia familiaris"
"7548";"Alopecoenas sanctaecrucis";"Alopecoenas sanctaecrucis"
"7549";"Sholicola albiventris";"Sholicola albiventris"
"7550";"Grallaria fenwickorum";NA
"7551";"Pternistis atrifrons";"Pternistis atrifrons"
"7552";"Anorrhinus austeni";"Anorrhinus austeni"
"7553";"Perdicula asiatica";"Perdicula asiatica"
"7554";"Syrmaticus reevesii";"Syrmaticus reevesii"
"7555";"Chrysolophus pictus";"Chrysolophus pictus"
"7556";"Eolophus roseicapilla";"Eolophus roseicapilla"
"7557";"Agapornis canus";"Agapornis canus"
"7558";"Hypotaenidia torquata";NA
"7559";"Pterocles orientalis";"Pterocles orientalis"
"7560";"Anarhynchus frontalis";"Anarhynchus frontalis"
"7561";"Aethia cristatella";"Aethia cristatella"
"7562";"Eudyptes sclateri";"Eudyptes sclateri"
"7563";"Pterodroma magentae";"Pterodroma magentae"
"7564";"Ficedula semitorquata";"Ficedula semitorquata"
"7565";"Cichladusa guttata";"Cichladusa guttata"
"7566";"Saxicola insignis";"Saxicola insignis"
"7567";"Myrmecocichla formicivora";"Myrmecocichla formicivora"
"7568";"Pholia sharpii";"Pholia sharpii"
"7569";"Phylloscopus intermedius";"Phylloscopus intermedius"
"7570";"Fulvetta vinipectus";"Fulvetta vinipectus"
"7571";"Ammomanes deserti";"Ammomanes deserti"
"7572";"Cinnyris venustus";"Cinnyris venustus"
"7573";"Cinnyris mariquensis";"Cinnyris mariquensis"
"7574";"Passer swainsonii";"Passer swainsonii"
"7575";"Anthus campestris";"Anthus campestris"
"7576";"Sporopipes frontalis";"Sporopipes frontalis"
"7577";"Ploceus intermedius";"Ploceus intermedius"
"7578";"Foudia madagascariensis";"Foudia madagascariensis"
"7579";"Foudia sechellarum";"Foudia sechellarum"
"7580";"Lonchura malacca";"Lonchura malacca"
"7581";"Crithagra citrinipectus";"Crithagra citrinipectus"
"7582";"Chloris sinica";"Chloris sinica"
"7583";"Leucosticte nemoricola";"Leucosticte nemoricola"
"7584";"Telespiza cantans";"Telespiza cantans"
"7585";"Gubernatrix cristata";"Gubernatrix cristata"
"7586";"Schistochlamys melanopis";"Schistochlamys melanopis"
"7587";"Phonipara canora";"Phonipara canora"
"7588";"Molothrus bonariensis";"Molothrus bonariensis"
"7589";"Pterorhinus courtoisi";"Pterorhinus courtoisi"
"7590";"Pterorhinus albogularis";"Pterorhinus albogularis"
"7591";"Zosterops somadikartai";"Zosterops somadikartai"
"7592";"Myzomela rubrobrunnea";NA
"7593";"Myiagra hebetior";"Myiagra hebetior"
"7594";"Euplectes laticauda";NA
"7595";"Leucosticte atrata";"Leucosticte atrata"
"7596";"Casuarius casuarius";"Casuarius casuarius"
"7597";"Dromaius novaehollandiae";"Dromaius novaehollandiae"
"7598";"Alectura lathami";"Alectura lathami"
"7599";"Francolinus francolinus";"Francolinus francolinus"
"7600";"Francolinus pondicerianus";NA
"7601";"Coturnix coturnix";"Coturnix coturnix"
"7602";"Gallus varius";"Gallus varius"
"7603";"Chrysolophus amherstiae";"Chrysolophus amherstiae"
"7604";"Dendrocygna arcuata";"Dendrocygna arcuata"
"7605";"Cygnus atratus";"Cygnus atratus"
"7606";"Anser anser";"Anser anser"
"7607";"Anser indicus";"Anser indicus"
"7608";"Branta canadensis";"Branta canadensis"
"7609";"Branta leucopsis";"Branta leucopsis"
"7610";"Cereopsis novaehollandiae";"Cereopsis novaehollandiae"
"7611";"Alopochen aegyptiaca";"Alopochen aegyptiaca"
"7612";"Cairina moschata";"Cairina moschata"
"7613";"Aix galericulata";"Aix galericulata"
"7614";"Ceyx websteri";"Ceyx websteri"
"7615";"Chalcites lucidus";NA
"7616";"Centropus ateralbus";"Centropus ateralbus"
"7617";"Eos bornea";"Eos bornea"
"7618";"Cacatua leadbeateri";NA
"7619";"Cacatua galerita";"Cacatua galerita"
"7620";"Cacatua sanguinea";"Cacatua sanguinea"
"7621";"Agapornis roseicollis";"Agapornis roseicollis"
"7622";"Agapornis personatus";"Agapornis personatus"
"7623";"Agapornis lilianae";"Agapornis lilianae"
"7624";"Ara ararauna";"Ara ararauna"
"7625";"Aratinga nenday";"Aratinga nenday"
"7626";"Forpus passerinus";"Forpus passerinus"
"7627";"Brotogeris versicolurus";"Brotogeris versicolurus"
"7628";"Amazona albifrons";"Amazona albifrons"
"7629";"Amazona ochrocephala";"Amazona ochrocephala"
"7630";"Amazona amazonica";"Amazona amazonica"
"7631";"Apus caffer";"Apus caffer"
"7632";"Chordeiles pusillus";"Chordeiles pusillus"
"7633";"Columba palumbus";"Columba palumbus"
"7634";"Columba pallidiceps";"Columba pallidiceps"
"7635";"Chalcophaps stephani";"Chalcophaps stephani"
"7636";"Henicophaps foersteri";"Henicophaps foersteri"
"7637";"Ducula finschii";"Ducula finschii"
"7638";"Goura cristata";"Goura cristata"
"7639";"Grus vipio";NA
"7640";"Anthropoides virgo";"Anthropoides virgo"
"7641";"Gallirallus australis";"Gallirallus australis"
"7642";"Hypotaenidia insignis";NA
"7643";"Amaurornis isabellina";"Amaurornis isabellina"
"7644";"Calidris maritima";"Calidris maritima"
"7645";"Calidris ptilocnemis";"Calidris ptilocnemis"
"7646";"Charadrius asiaticus";"Charadrius asiaticus"
"7647";"Alle alle";"Alle alle"
"7648";"Cerorhinca monocerata";"Cerorhinca monocerata"
"7649";"Henicopernis infuscatus";"Henicopernis infuscatus"
"7650";"Accipiter luteoschistaceus";"Accipiter luteoschistaceus"
"7651";"Buteogallus aequinoctialis";"Buteogallus aequinoctialis"
"7652";"Buteo albigula";"Buteo albigula"
"7653";"Falco femoralis";"Falco femoralis"
"7654";"Ardeola ralloides";"Ardeola ralloides"
"7655";"Cathartes aura";"Cathartes aura"
"7656";"Ciconia boyciana";"Ciconia boyciana"
"7657";"Gavia stellata";"Gavia stellata"
"7658";"Attila phoenicurus";"Attila phoenicurus"
"7659";"Grallaria gigantea";"Grallaria gigantea"
"7660";"Corvus monedula";"Corvus monedula"
"7661";"Corvus splendens";"Corvus splendens"
"7662";"Corvus moneduloides";"Corvus moneduloides"
"7663";"Corvus brachyrhynchos";"Corvus brachyrhynchos"
"7664";"Gymnorhina tibicen";"Gymnorhina tibicen"
"7665";"Grallina cyanoleuca";"Grallina cyanoleuca"
"7666";"Chlorophoneus kupeensis";NA
"7667";"Bombycilla japonica";"Bombycilla japonica"
"7668";"Cinclus cinclus";"Cinclus cinclus"
"7669";"Geokichla dohertyi";"Geokichla dohertyi"
"7670";"Geokichla peronii";"Geokichla peronii"
"7671";"Geokichla gurneyi";"Geokichla gurneyi"
"7672";"Geokichla camaronensis";"Geokichla camaronensis"
"7673";"Geokichla princei";"Geokichla princei"
"7674";"Catharus fuscater";"Catharus fuscater"
"7675";"Catharus occidentalis";"Catharus occidentalis"
"7676";"Catharus mexicanus";"Catharus mexicanus"
"7677";"Catharus fuscescens";"Catharus fuscescens"
"7678";"Heteroxenicus stellatus";NA
"7679";"Brachypteryx hyperythra";"Brachypteryx hyperythra"
"7680";"Chamaetylas poliocephala";"Chamaetylas poliocephala"
"7681";"Alethe castanea";"Alethe castanea"
"7682";"Fraseria cinerascens";"Fraseria cinerascens"
"7683";"Cyornis ruficauda";"Cyornis ruficauda"
"7684";"Bradornis ussheri";"Bradornis ussheri"
"7685";"Bradornis fuliginosus";"Bradornis fuliginosus"
"7686";"Fraseria plumbea";"Fraseria plumbea"
"7687";"Ficedula hypoleuca";"Ficedula hypoleuca"
"7688";"Ficedula rufigula";"Ficedula rufigula"
"7689";"Eumyias panayensis";"Eumyias panayensis"
"7690";"Cyornis poliogenys";"Cyornis poliogenys"
"7691";"Erithacus rubecula";"Erithacus rubecula"
"7692";"Cossypha cyanocampter";"Cossypha cyanocampter"
"7693";"Cercotrichas hartlaubi";"Cercotrichas hartlaubi"
"7694";"Cercotrichas podobe";"Cercotrichas podobe"
"7695";"Grandala coelicolor";"Grandala coelicolor"
"7696";"Enicurus scouleri";"Enicurus scouleri"
"7697";"Aplonis tabuensis";"Aplonis tabuensis"
"7698";"Aplonis striata";"Aplonis striata"
"7699";"Aplonis crassa";"Aplonis crassa"
"7700";"Aplonis cantoroides";"Aplonis cantoroides"
"7701";"Aplonis feadensis";"Aplonis feadensis"
"7702";"Aplonis grandis";"Aplonis grandis"
"7703";"Aplonis mysolensis";"Aplonis mysolensis"
"7704";"Hylopsar purpureiceps";"Hylopsar purpureiceps"
"7705";"Cinnyricinclus leucogaster";"Cinnyricinclus leucogaster"
"7706";"Hartlaubius auratus";"Hartlaubius auratus"
"7707";"Agropsar philippensis";"Agropsar philippensis"
"7708";"Acridotheres ginginianus";"Acridotheres ginginianus"
"7709";"Basilornis celebensis";"Basilornis celebensis"
"7710";"Basilornis galeatus";"Basilornis galeatus"
"7711";"Buphagus africanus";"Buphagus africanus"
"7712";"Buphagus erythrorynchus";"Buphagus erythrorynchus"
"7713";"Cinclocerthia ruficauda";"Cinclocerthia ruficauda"
"7714";"Allenia fusca";"Allenia fusca"
"7715";"Campylorhynchus griseus";"Campylorhynchus griseus"
"7716";"Campylorhynchus turdinus";"Campylorhynchus turdinus"
"7717";"Campylorhynchus megalopterus";"Campylorhynchus megalopterus"
"7718";"Campylorhynchus fasciatus";"Campylorhynchus fasciatus"
"7719";"Cantorchilus guarayanus";"Cantorchilus guarayanus"
"7720";"Cantorchilus longirostris";"Cantorchilus longirostris"
"7721";"Henicorhina leucosticta";"Henicorhina leucosticta"
"7722";"Cyphorhinus phaeocephalus";"Cyphorhinus phaeocephalus"
"7723";"Eurillas virens";"Eurillas virens"
"7724";"Eurillas gracilis";"Eurillas gracilis"
"7725";"Eurillas ansorgei";"Eurillas ansorgei"
"7726";"Andropadus importunus";"Andropadus importunus"
"7727";"Eurillas latirostris";"Eurillas latirostris"
"7728";"Calyptocichla serinus";"Calyptocichla serinus"
"7729";"Baeopogon indicator";"Baeopogon indicator"
"7730";"Chlorocichla simplex";"Chlorocichla simplex"
"7731";"Chlorocichla flaviventris";"Chlorocichla flaviventris"
"7732";"Bleda canicapillus";"Bleda canicapillus"
"7733";"Criniger barbatus";"Criniger barbatus"
"7734";"Criniger calurus";"Criniger calurus"
"7735";"Hypsipetes philippinus";"Hypsipetes philippinus"
"7736";"Hypsipetes rufigularis";"Hypsipetes rufigularis"
"7737";"Hypsipetes amaurotis";"Hypsipetes amaurotis"
"7738";"Hypsipetes madagascariensis";"Hypsipetes madagascariensis"
"7739";"Heleia javanica";"Heleia javanica"
"7740";"Heleia superciliaris";"Heleia superciliaris"
"7741";"Heleia dohertyi";"Heleia dohertyi"
"7742";"Horornis seebohmi";"Horornis seebohmi"
"7743";"Bathmocercus cerviniventris";"Bathmocercus cerviniventris"
"7744";"Hylia prasina";"Hylia prasina"
"7745";"Melanocichla calva";"Melanocichla calva"
"7746";"Grammatoptila striata";"Grammatoptila striata"
"7747";"Pterorhinus ruficollis";"Pterorhinus ruficollis"
"7748";"Pterorhinus delesserti";"Pterorhinus delesserti"
"7749";"Pterorhinus gularis";"Pterorhinus gularis"
"7750";"Ianthocincla rufogularis";"Ianthocincla rufogularis"
"7751";"Ianthocincla maxima";"Ianthocincla maxima"
"7752";"Pterorhinus caerulatus";"Pterorhinus caerulatus"
"7753";"Cyanoderma pyrrhops";"Cyanoderma pyrrhops"
