"";"taxon";"species";"oriFtree";"rank_oriFtree";"dietoriFtree";"rank_dietoriFtree";"activityoriFtree";"rank_activityoriFtree";"massoriFtree";"rank_massoriFtree";"damage_cost";"management_cost"
"3856";"MAMMALS";"Nyctereutes procyonoides";0,0513465737980755;36;0,153682735867912;34;0,000230354772328301;4362;0,000126630753986131;657;NA;0,152009418429433
"3284";"MAMMALS";"Herpestes edwardsii";0,0379644973997949;65;0,113378270030847;62;0,000420223467052952;3289;9,49987014847986e-05;1057;2,91152697935792;NA
"3340";"MAMMALS";"Paguma larvata";0,0347612778794996;81;0,103931743732885;74,5;0,000230354772328301;4362;0,00012173513328549;718;1,95325480800699;NA
"3336";"MAMMALS";"Procyon lotor";0,0260797467284067;138;0,0778872291323776;123,5;0,000230354772328301;4362;0,000121656280514181;722,5;1,55224560664666;0,0120868692808593
"4831";"MAMMALS";"Eutamias sibiricus";0,0256398419149786;141;0,0758863489733043;126;0,00097660893086848;1196,5;5,65678407630556e-05;3072,5;NA;0,0136478354079637
"3263";"MAMMALS";"Mustela erminea";0,0213567709901153;180;0,0637773040389707;160,5;0,000230354772328301;4362;6,26541590467989e-05;1843,5;NA;0,0284358854392107
"3327";"MAMMALS";"Neovison vison";0,0173458491839584;248;0,051086774500541;223,5;0,000855956453590733;1490,5;9,4816597743414e-05;1063,5;0,400490265562427;8,1049304814474
"4877";"MAMMALS";"Atelerix albiventris";0,017143002059334;254;0,0511159311625909;220,5;0,000230354772328301;4362;8,27202430827737e-05;1261,5;NA;2,99974222324839e-05
"5751";"MAMMALS";"Chlorocebus pygerythrus";0,016346138620965;277,5;0,0446087031164401;275;0,00431731354070018;326;0,000112399205754833;841,5;NA;0,00291272522784127
"5645";"MAMMALS";"Vulpes vulpes";0,0101596440681792;443;0,0295082158667306;399;0,000855956453590733;1490,5;0,000114759884216197;815,5;7,93845881815507;1,37311073604724
"3287";"MAMMALS";"Herpestes javanicus";0,00669069769125143;669;0,0195718930358673;551;0,000420223467052952;3289;7,99765708340273e-05;1334,5;0,0219269899597082;0,642918040149151
"984";"MAMMALS";"Rousettus aegyptiacus";0,00520637421732948;822;0,0149878212669953;683;0,00056934889082708;2634,5;6,19524941660669e-05;1952;NA;0,000470335586528106
"3136";"MAMMALS";"Sus scrofa";0,0047861117027766;919,5;0,0129038792167347;793,5;0,000855956453590733;1490,5;0,000598499438004361;170,5;110,483273543235;0,561278988342514
"148";"MAMMALS";"Macaca mulatta";0,00384624672025559;1029;0,00709332572169123;1174;0,00431731354070018;326;0,000128100898375364;637;NA;0,00952171009191081
"11535";"BIRDS";"Acridotheres tristis";0,043441545833775;125;0,129289463062151;89;0,000890926689944862;3577,5;0,000144247749229053;1977,5;NA;0,0168160714285714
"14651";"BIRDS";"Sturnus vulgaris";0,040884512053513;166;0,122313931930489;124,5;0,000251428617012237;7188;8,81756130378433e-05;3595,5;40,638078330685;0,31874497361483
"13894";"BIRDS";"Pycnonotus cafer";0,0307752668365709;331;0,0737085193081264;431,5;0,0185319613033714;495;8,5319898214779e-05;3777;NA;2,16864778937663e-05
"16591";"BIRDS";"Aquila chrysaetos";0,0172416317643654;781;0,0502353327986394;617,5;0,000121430967291621;9069,5;0,0013681315271652;95,5;NA;0,0718056178931211
"5925";"BIRDS";"Cygnus olor";0,0148388800180849;921;0,0324158525160691;858,5;0,00148951790743838;2721;0,0106112696307471;10;0,000862206369353382;0,0156886071031572
"13890";"BIRDS";"Pycnonotus sinensis";0,0128945100705743;1043;0,0319615703465008;874;0,00664068326419238;1062;8,12766010297703e-05;4147,5;0,0132811104129742;NA
"13781";"BIRDS";"Alexandrinus krameri";0,0103117530824669;1242;0,0262824514433148;1014;0,00452467990033748;1427,5;0,000128127903748271;2341,5;1,29241006782362;0,0058307171000811
"13769";"BIRDS";"Meleagris gallopavo";0,00612448198787208;1872;0,0132578820273236;1661;0,000362895516534851;6785,5;0,00475266841975778;41,5;NA;0,00135460073125146
"190489";"PLANTS";"Solanum tampicense";0,598786597475815;1457;NA;NA;NA;NA;NA;NA;NA;4,297117e-05
"182874";"PLANTS";"Araujia sericifera";0,529075077701195;3491,5;NA;NA;NA;NA;NA;NA;NA;3,12575e-05
"186519";"PLANTS";"Periploca graeca";0,529075077701195;3491,5;NA;NA;NA;NA;NA;NA;NA;6,470137e-05
"157628";"PLANTS";"Striga asiatica";0,515873225913269;3683;NA;NA;NA;NA;NA;NA;NA;0,068049303830606
"157867";"PLANTS";"Orobanche aegyptiaca";0,515873225913269;3683;NA;NA;NA;NA;NA;NA;NA;0,411343558142212
"157873";"PLANTS";"Orobanche ramosa";0,515873225913269;3683;NA;NA;NA;NA;NA;NA;NA;0,0954964704998043
"199230";"PLANTS";"Senecio jacksonii";0,511043592015867;7757,5;NA;NA;NA;NA;NA;NA;2,587205;0,168436
"203315";"PLANTS";"Centaurea affinis";0,511043592015867;7757,5;NA;NA;NA;NA;NA;NA;0,01181553;NA
"227113";"PLANTS";"Anredera cordifolia";0,471651433269024;27783,5;NA;NA;NA;NA;NA;NA;NA;0,0001141241
"97384";"PLANTS";"Rubus megalococcus";0,446905376500806;29957,5;NA;NA;NA;NA;NA;NA;NA;0,000257454091928379
"73265";"PLANTS";"Cissus verticillata";0,43298967095094;32005,5;NA;NA;NA;NA;NA;NA;NA;0,000581325869159117
"190565";"PLANTS";"Solanum seaforthianum";0,43298967095094;32005,5;NA;NA;NA;NA;NA;NA;NA;0,008648407
"208441";"PLANTS";"Lonicera japonica";0,43298967095094;32005,5;NA;NA;NA;NA;NA;NA;NA;6,392699e-05
"240127";"PLANTS";"Clematis vitalba";0,43298967095094;32005,5;NA;NA;NA;NA;NA;NA;NA;0,05587273
"96412";"PLANTS";"Rosa rugosa";0,376973540905888;49248;NA;NA;NA;NA;NA;NA;NA;5,00833521924629
"98855";"PLANTS";"Cotoneaster multiflorus";0,376973540905888;49248;NA;NA;NA;NA;NA;NA;NA;0,220197186355003
"112983";"PLANTS";"Ulex parviflorus";0,376973540905888;49248;NA;NA;NA;NA;NA;NA;NA;7,47926847870184e-06
"108362";"PLANTS";"Neustanthus phaseoloides";0,374051636295759;50690;NA;NA;NA;NA;NA;NA;NA;0,000115131934577736
"193902";"PLANTS";"Mikania micrantha";0,374051636295759;50690;NA;NA;NA;NA;NA;NA;0,7967331;0,06221913
"199408";"PLANTS";"Senecio angulatus";0,374051636295759;50690;NA;NA;NA;NA;NA;NA;NA;0,0002124677
"312750";"PLANTS";"Aristolochia elegans";0,374051636295759;50690;NA;NA;NA;NA;NA;NA;NA;4,67953e-06
"120523";"PLANTS";"Alliaria petiolata";0,365814414642472;52398,5;NA;NA;NA;NA;NA;NA;NA;1,21440494428402e-05
"142085";"PLANTS";"Oenothera biennis";0,365814414642472;52398,5;NA;NA;NA;NA;NA;NA;NA;0,00209786624194494
"204526";"PLANTS";"Onopordum acanthium";0,365814414642472;52398,5;NA;NA;NA;NA;NA;NA;0,0002820134;NA
"210068";"PLANTS";"Pastinaca sativa";0,365814414642472;52398,5;NA;NA;NA;NA;NA;NA;NA;1,292167e-05
"71810";"PLANTS";"Vachellia nilotica";0,360025626241271;54953,5;NA;NA;NA;NA;NA;NA;0,17533180209213;4,9022745994265e-07
